Date : 2024-10-08 19:22:49
Directory : d:\OI\Code
Total : 1257 files,  77129 codes, 502343 comments, 23049 blanks, all 602521 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| d:\OI\Code\ACWing\883.cpp                                                  | C++          |        113 |          0 |         16 |        129 |
| d:\OI\Code\ACWing\891.cpp                                                  | C++          |         35 |          0 |          6 |         41 |
| d:\OI\Code\ACWing\895.cpp                                                  | C++          |         45 |          0 |          7 |         52 |
| d:\OI\Code\ACWing\896.cpp                                                  | C++          |         45 |          0 |          7 |         52 |
| d:\OI\Code\ACWing\897.cpp                                                  | C++          |         42 |          0 |          9 |         51 |
| d:\OI\Code\ACWing\898.cpp                                                  | C++          |         46 |          0 |          9 |         55 |
| d:\OI\Code\ACWing\899.cpp                                                  | C++          |         66 |          0 |         14 |         80 |
| d:\OI\Code\ACWing\902.cpp                                                  | C++          |         47 |          0 |         11 |         58 |
| d:\OI\Code\ACWing\907.cpp                                                  | C++          |         62 |          0 |         13 |         75 |
| d:\OI\Code\BOJ\20779.cpp                                                   | C++          |         66 |          3 |         29 |         98 |
| d:\OI\Code\BOJ\8354.cpp                                                    | C++          |         96 |          3 |         29 |        128 |
| d:\OI\Code\CSG\1217.cpp                                                    | C++          |        201 |          1 |         49 |        251 |
| d:\OI\Code\CSG\1223.cpp                                                    | C++          |         97 |          3 |         30 |        130 |
| d:\OI\Code\CodeChef\FINDINGSUM.cpp                                         | C++          |         62 |          3 |         18 |         83 |
| d:\OI\Code\CodeforcesGym\Gym-105231D.cpp                                   | C++          |         89 |          3 |         27 |        119 |
| d:\OI\Code\CodeforcesVP\1918A.cpp                                          | C++          |         27 |          0 |         10 |         37 |
| d:\OI\Code\CodeforcesVP\1918B.cpp                                          | C++          |         40 |          1 |         17 |         58 |
| d:\OI\Code\CodeforcesVP\1925A.cpp                                          | C++          |         30 |          1 |         11 |         42 |
| d:\OI\Code\CodeforcesVP\1925B.cpp                                          | C++          |         31 |          0 |         12 |         43 |
| d:\OI\Code\CodeforcesVP\1928A.cpp                                          | C++          |         30 |          0 |          8 |         38 |
| d:\OI\Code\CodeforcesVP\1928B.cpp                                          | C++          |         38 |          1 |         17 |         56 |
| d:\OI\Code\CodeforcesVP\1929A.cpp                                          | C++          |         35 |          0 |         13 |         48 |
| d:\OI\Code\CodeforcesVP\1929B.cpp                                          | C++          |         30 |          0 |         11 |         41 |
| d:\OI\Code\CodeforcesVP\1929C.cpp                                          | C++          |         31 |          0 |         12 |         43 |
| d:\OI\Code\CompRedo\2023SCzrD2T1.cpp                                       | C++          |         37 |          0 |         12 |         49 |
| d:\OI\Code\CompRedo\栈序列.cpp                                                | C++          |        179 |         12 |         36 |        227 |
| d:\OI\Code\CompRedo\栈序列_tree.cpp                                           | C++          |        126 |          3 |         27 |        156 |
| d:\OI\Code\CompRedo\栈序列_模拟.cpp                                             | C++          |         72 |          0 |         13 |         85 |
| d:\OI\Code\Comp\22-11-13 洛谷NOIP全程模拟\A.cpp                                  | C++          |         29 |          0 |          7 |         36 |
| d:\OI\Code\Comp\22-11-13 洛谷NOIP全程模拟\A_1.cpp                                | C++          |         37 |          0 |          4 |         41 |
| d:\OI\Code\Comp\22-11-13 洛谷NOIP全程模拟\A_2.cpp                                | C++          |         61 |          5 |         14 |         80 |
| d:\OI\Code\Comp\22-11-13 洛谷NOIP全程模拟\A_3.cpp                                | C++          |         29 |          0 |          7 |         36 |
| d:\OI\Code\Comp\22-11-13 洛谷NOIP全程模拟\B.cpp                                  | C++          |        129 |         10 |         18 |        157 |
| d:\OI\Code\Comp\22-11-13 洛谷NOIP全程模拟\B_1.cpp                                | C++          |         49 |          0 |          9 |         58 |
| d:\OI\Code\Comp\22-11-18 sg模拟\A.cpp                                        | C++          |         52 |          1 |         13 |         66 |
| d:\OI\Code\Comp\22-11-18 sg模拟\A2.cpp                                       | C++          |        217 |          0 |          4 |        221 |
| d:\OI\Code\Comp\22-11-18 sg模拟\A_py.py                                      | Python       |          4 |          0 |          1 |          5 |
| d:\OI\Code\Comp\22-11-18 sg模拟\A_table.cpp                                  | C++          |         21 |          1 |          6 |         28 |
| d:\OI\Code\Comp\22-11-18 sg模拟\C.cpp                                        | C++          |         86 |          1 |         14 |        101 |
| d:\OI\Code\Comp\22-11-19 LGR2\A.cpp                                        | C++          |         14 |          0 |          5 |         19 |
| d:\OI\Code\Comp\22-11-19 LGR2\B.cpp                                        | C++          |         52 |          0 |         12 |         64 |
| d:\OI\Code\Comp\22-11-19 LGR2\C.cpp                                        | C++          |         73 |          0 |         10 |         83 |
| d:\OI\Code\Comp\22-11-19 LGR2\C_1.cpp                                      | C++          |         13 |          0 |          4 |         17 |
| d:\OI\Code\Comp\22-11-19 LGR2\C_2.cpp                                      | C++          |         35 |          0 |          7 |         42 |
| d:\OI\Code\Comp\22-11-19 LGR2\C_debug.cpp                                  | C++          |         73 |          0 |         11 |         84 |
| d:\OI\Code\Comp\22-11-19 LGR2\test.cpp                                     | C++          |         15 |          0 |          4 |         19 |
| d:\OI\Code\Comp\22-11-19 LGR2\赛后\A.cpp                                     | C++          |         83 |          2 |         14 |         99 |
| d:\OI\Code\Comp\22-11-19 LGR\A.cpp                                         | C++          |         45 |          0 |          7 |         52 |
| d:\OI\Code\Comp\22-11-19 LGR\B.cpp                                         | C++          |         16 |          0 |          5 |         21 |
| d:\OI\Code\Comp\22-11-19 LGR\C.cpp                                         | C++          |         77 |          0 |         12 |         89 |
| d:\OI\Code\Comp\22-11-19 LGR\D.cpp                                         | C++          |        117 |          1 |         18 |        136 |
| d:\OI\Code\Comp\22-11-19 LGR\D_sub2.cpp                                    | C++          |        127 |          0 |         17 |        144 |
| d:\OI\Code\Comp\22-11-19 LGR\test.cpp                                      | C++          |         10 |          0 |          5 |         15 |
| d:\OI\Code\Comp\22-11-20 luogu模拟\A.cpp                                     | C++          |         29 |          0 |          8 |         37 |
| d:\OI\Code\Comp\22-11-20 sg模拟-J\D.cpp                                      | C++          |         41 |          0 |         12 |         53 |
| d:\OI\Code\Comp\22-11-20 sg模拟-S\A.cpp                                      | C++          |         48 |          0 |         15 |         63 |
| d:\OI\Code\Comp\22-11-20 sg模拟-S\C.cpp                                      | C++          |         17 |          0 |          4 |         21 |
| d:\OI\Code\Comp\22-11-20 sg模拟-S\D.cpp                                      | C++          |         91 |          4 |         17 |        112 |
| d:\OI\Code\Comp\22-11-20 sg模拟-S\D_1.cpp                                    | C++          |        103 |         22 |         16 |        141 |
| d:\OI\Code\Comp\22-11-20 sg模拟-S\D_debug.cpp                                | C++          |         76 |         11 |         15 |        102 |
| d:\OI\Code\Comp\22-11-20 sg模拟-S\test.cpp                                   | C++          |         15 |          0 |          4 |         19 |
| d:\OI\Code\Comp\22-11-21 coding c++\A.cpp                                  | C++          |         17 |          0 |          4 |         21 |
| d:\OI\Code\Comp\22-11-21 coding c++\Acw1.cpp                               | C++          |         15 |          0 |          6 |         21 |
| d:\OI\Code\Comp\22-11-21 coding c++\B.cpp                                  | C++          |         15 |          0 |          4 |         19 |
| d:\OI\Code\Comp\22-11-21 coding c++\G.cpp                                  | C++          |         24 |          0 |          9 |         33 |
| d:\OI\Code\Comp\22-11-21 coding c++\M.cpp                                  | C++          |         16 |          0 |          6 |         22 |
| d:\OI\Code\Comp\22-11-21 coding c++\T.cpp                                  | C++          |         19 |          0 |          4 |         23 |
| d:\OI\Code\Comp\22-11-21 coding c++\V.cpp                                  | C++          |         15 |          0 |          4 |         19 |
| d:\OI\Code\Comp\22-11-21 coding c++\W.cpp                                  | C++          |         19 |          0 |          4 |         23 |
| d:\OI\Code\Comp\22-11-21 sg模拟-J\A.cpp                                      | C++          |         69 |          0 |         12 |         81 |
| d:\OI\Code\Comp\22-11-21 sg模拟-J\B.cpp                                      | C++          |         37 |          0 |          9 |         46 |
| d:\OI\Code\Comp\22-11-21 sg模拟-J\C.cpp                                      | C++          |         36 |          0 |          7 |         43 |
| d:\OI\Code\Comp\22-11-21 sg模拟-J\D.cpp                                      | C++          |         16 |          0 |          5 |         21 |
| d:\OI\Code\Comp\22-11-21 sg模拟-S\B.cpp                                      | C++          |         14 |          0 |          7 |         21 |
| d:\OI\Code\Comp\22-11-21 sg模拟-S\C.cpp                                      | C++          |         16 |          0 |          6 |         22 |
| d:\OI\Code\Comp\22-11-22 coding c++\A.cpp                                  | C++          |         17 |          0 |          6 |         23 |
| d:\OI\Code\Comp\22-11-22 coding c++\B.cpp                                  | C++          |         20 |          0 |          6 |         26 |
| d:\OI\Code\Comp\22-11-22 coding c++\C.cpp                                  | C++          |         59 |          4 |          9 |         72 |
| d:\OI\Code\Comp\22-11-22 coding c++\D.cpp                                  | C++          |         21 |          0 |          7 |         28 |
| d:\OI\Code\Comp\22-11-22 coding c++\aaaaa.cpp                              | C++          |         14 |          0 |          5 |         19 |
| d:\OI\Code\Comp\22-11-22 sg模拟-J\A.cpp                                      | C++          |         43 |          0 |          9 |         52 |
| d:\OI\Code\Comp\22-11-22 sg模拟-J\B.cpp                                      | C++          |         31 |          6 |          9 |         46 |
| d:\OI\Code\Comp\22-11-22 sg模拟-J\C.cpp                                      | C++          |         60 |          6 |          5 |         71 |
| d:\OI\Code\Comp\22-11-22 sg模拟-J\C2.cpp                                     | C++          |          0 |          0 |          2 |          2 |
| d:\OI\Code\Comp\22-11-22 sg模拟-S\A.cpp                                      | C++          |         14 |          0 |          5 |         19 |
| d:\OI\Code\Comp\22-11-22 sg模拟-S\B.cpp                                      | C++          |         47 |          0 |         13 |         60 |
| d:\OI\Code\Comp\22-11-22 sg模拟-S\C.cpp                                      | C++          |         80 |          0 |         14 |         94 |
| d:\OI\Code\Comp\22-11-22 sg模拟-S\C1.cpp                                     | C++          |        107 |          4 |         17 |        128 |
| d:\OI\Code\Comp\22-11-23 coding c++\A.cpp                                  | C++          |         67 |          0 |         12 |         79 |
| d:\OI\Code\Comp\22-11-23 coding c++\B.cpp                                  | C++          |         53 |          0 |         10 |         63 |
| d:\OI\Code\Comp\22-11-23 coding c++\C.cpp                                  | C++          |         15 |          0 |          4 |         19 |
| d:\OI\Code\Comp\22-11-23 coding c++\D.cpp                                  | C++          |         99 |          5 |         16 |        120 |
| d:\OI\Code\Comp\22-11-23 coding c++\OLE.cpp                                | C++          |         18 |          0 |          4 |         22 |
| d:\OI\Code\Comp\22-11-23 sg模拟-J\A.cpp                                      | C++          |         85 |          0 |         12 |         97 |
| d:\OI\Code\Comp\22-11-23 sg模拟-J\B.cpp                                      | C++          |         14 |          0 |          5 |         19 |
| d:\OI\Code\Comp\22-11-23 sg模拟-J\D.cpp                                      | C++          |         78 |          0 |         13 |         91 |
| d:\OI\Code\Comp\22-11-23 sg模拟-J\P11.cpp                                    | C++          |         27 |          0 |          5 |         32 |
| d:\OI\Code\Comp\22-11-23 sg模拟-J\P13.cpp                                    | C++          |         33 |          2 |          7 |         42 |
| d:\OI\Code\Comp\22-11-23 sg模拟-S\A.cpp                                      | C++          |         84 |          0 |         17 |        101 |
| d:\OI\Code\Comp\22-11-23 sg模拟-S\A1.cpp                                     | C++          |         14 |          0 |          5 |         19 |
| d:\OI\Code\Comp\22-11-23 sg模拟-S\test.cpp                                   | C++          |          7 |          0 |          1 |          8 |
| d:\OI\Code\Comp\22-11-25 sg模拟-J\D.cpp                                      | C++          |         74 |         17 |          6 |         97 |
| d:\OI\Code\Comp\22-11-25 sg模拟-J\abc.cpp                                    | C++          |         14 |          0 |          5 |         19 |
| d:\OI\Code\Comp\22-11-26 noip2022\barrack.cpp                              | C++          |        103 |          2 |         15 |        120 |
| d:\OI\Code\Comp\22-11-26 noip2022\match.cpp                                | C++          |         82 |          6 |         11 |         99 |
| d:\OI\Code\Comp\22-11-26 noip2022\noip2022.md                              | Markdown     |         18 |          0 |         18 |         36 |
| d:\OI\Code\Comp\22-11-26 noip2022\plant.cpp                                | C++          |        261 |         79 |         22 |        362 |
| d:\OI\Code\Comp\22-11-26 noip2022\曹天朗SD-867\曹天朗SD-867\match\match - 副本.cpp | C++          |         82 |          6 |         11 |         99 |
| d:\OI\Code\Comp\22-11-26 noip2022\曹天朗SD-867\曹天朗SD-867\match\match.cpp      | C++          |         86 |          2 |         11 |         99 |
| d:\OI\Code\Comp\22-11-26 noip2022\曹天朗SD-867\曹天朗SD-867\plant\plant.cpp      | C++          |        252 |         82 |         25 |        359 |
| d:\OI\Code\Comp\23-01-14 蓝桥杯test\A.cpp                                     | C++          |         17 |          0 |          5 |         22 |
| d:\OI\Code\Comp\23-01-14 蓝桥杯test\B.cpp                                     | C++          |         24 |          0 |          4 |         28 |
| d:\OI\Code\Comp\23-01-15 蓝桥杯\1\1.cpp                                       | C++          |         12 |          0 |          3 |         15 |
| d:\OI\Code\Comp\23-01-15 蓝桥杯\1\1_a.cpp                                     | C++          |         14 |          0 |          3 |         17 |
| d:\OI\Code\Comp\23-01-15 蓝桥杯\1\1_duipai.cpp                                | C++          |          9 |          0 |          3 |         12 |
| d:\OI\Code\Comp\23-01-15 蓝桥杯\2\2.cpp                                       | C++          |         44 |          0 |          6 |         50 |
| d:\OI\Code\Comp\23-01-15 蓝桥杯\3\3.cpp                                       | C++          |         53 |          0 |         10 |         63 |
| d:\OI\Code\Comp\23-01-15 蓝桥杯\4\4.cpp                                       | C++          |         95 |          0 |         13 |        108 |
| d:\OI\Code\Comp\23-01-15 蓝桥杯\5\5.cpp                                       | C++          |         51 |          0 |          8 |         59 |
| d:\OI\Code\Comp\23-01-15 蓝桥杯\5\5_a.cpp                                     | C++          |         70 |          0 |         10 |         80 |
| d:\OI\Code\Comp\23-02-02 sg测试\A.cpp                                        | C++          |         41 |          0 |         11 |         52 |
| d:\OI\Code\Comp\23-02-02 sg测试\B.cpp                                        | C++          |         32 |          0 |          9 |         41 |
| d:\OI\Code\Comp\23-02-02 sg测试\C.cpp                                        | C++          |         50 |          0 |         11 |         61 |
| d:\OI\Code\Comp\23-02-02 sg测试\D.cpp                                        | C++          |         45 |          0 |         11 |         56 |
| d:\OI\Code\Comp\23-02-04 sg测试\A.cpp                                        | C++          |         24 |          0 |          8 |         32 |
| d:\OI\Code\Comp\23-02-04 sg测试\B.cpp                                        | C++          |         82 |          0 |         13 |         95 |
| d:\OI\Code\Comp\23-02-04 sg测试\D.cpp                                        | C++          |         68 |          0 |         11 |         79 |
| d:\OI\Code\Comp\23-04-29 ABC\A.cpp                                         | C++          |         31 |          0 |          9 |         40 |
| d:\OI\Code\Comp\23-04-29 ABC\B.cpp                                         | C++          |         90 |          2 |         15 |        107 |
| d:\OI\Code\Comp\23-04-29 CF869\A.cpp                                       | C++          |         51 |          0 |         14 |         65 |
| d:\OI\Code\Comp\23-05-01 LG\A.cpp                                          | C++          |         16 |          0 |          6 |         22 |
| d:\OI\Code\Comp\23-05-01 LG\E.cpp                                          | C++          |         51 |          0 |         12 |         63 |
| d:\OI\Code\Comp\23-05-01 LG\E_Table\Table1.cpp                             | C++          |         55 |          0 |         13 |         68 |
| d:\OI\Code\Comp\23-05-01 LG\E_Table\Table10.cpp                            | C++          |         55 |          0 |         13 |         68 |
| d:\OI\Code\Comp\23-05-01 LG\E_Table\Table2.cpp                             | C++          |         54 |          0 |         13 |         67 |
| d:\OI\Code\Comp\23-05-01 LG\E_Table\Table3.cpp                             | C++          |         54 |          0 |         13 |         67 |
| d:\OI\Code\Comp\23-05-01 LG\E_Table\Table4.cpp                             | C++          |         54 |          0 |         13 |         67 |
| d:\OI\Code\Comp\23-05-01 LG\E_Table\Table5.cpp                             | C++          |         54 |          0 |         13 |         67 |
| d:\OI\Code\Comp\23-05-01 LG\E_Table\Table6.cpp                             | C++          |         54 |          0 |         13 |         67 |
| d:\OI\Code\Comp\23-05-01 LG\E_Table\Table7.cpp                             | C++          |         54 |          0 |         13 |         67 |
| d:\OI\Code\Comp\23-05-01 LG\E_Table\Table8.cpp                             | C++          |         54 |          0 |         13 |         67 |
| d:\OI\Code\Comp\23-05-01 LG\E_Table\Table9.cpp                             | C++          |         54 |          0 |         13 |         67 |
| d:\OI\Code\Comp\23-05-01 LG\E_fast.cpp                                     | C++          |         22 |          0 |          9 |         31 |
| d:\OI\Code\Comp\23-05-01 LG\E_table.cpp                                    | C++          |         56 |          0 |         12 |         68 |
| d:\OI\Code\Comp\23-05-01 LG\Table_host.cpp                                 | C++          |         14 |          0 |          5 |         19 |
| d:\OI\Code\Comp\23-05-14 蓝桥杯\A.cpp                                         | C++          |         18 |          0 |          7 |         25 |
| d:\OI\Code\Comp\23-05-14 蓝桥杯\B.cpp                                         | C++          |         39 |          0 |         11 |         50 |
| d:\OI\Code\Comp\23-05-14 蓝桥杯\C.cpp                                         | C++          |         38 |          0 |          8 |         46 |
| d:\OI\Code\Comp\23-05-14 蓝桥杯\D.cpp                                         | C++          |         36 |          0 |         11 |         47 |
| d:\OI\Code\Comp\23-05-14 蓝桥杯\E.cpp                                         | C++          |         47 |          0 |         12 |         59 |
| d:\OI\Code\Comp\23-05-14 蓝桥杯\E2.cpp                                        | C++          |         84 |          4 |         24 |        112 |
| d:\OI\Code\Comp\23-05-14 蓝桥杯\test\A.cpp                                    | C++          |         17 |          0 |          5 |         22 |
| d:\OI\Code\Comp\23-05-14 蓝桥杯\test\B.cpp                                    | C++          |         17 |          0 |          5 |         22 |
| d:\OI\Code\Comp\23-05-28 LG\A.cpp                                          | C++          |         31 |          0 |          7 |         38 |
| d:\OI\Code\Comp\23-05-28 蓝桥杯国赛\A.cpp                                       | C++          |         44 |          0 |          9 |         53 |
| d:\OI\Code\Comp\23-05-28 蓝桥杯国赛\B.cpp                                       | C++          |         33 |          0 |          8 |         41 |
| d:\OI\Code\Comp\23-05-28 蓝桥杯国赛\C.cpp                                       | C++          |         89 |          4 |         14 |        107 |
| d:\OI\Code\Comp\23-05-28 蓝桥杯国赛\D.cpp                                       | C++          |         14 |          0 |          5 |         19 |
| d:\OI\Code\Comp\23-05-28 蓝桥杯国赛\E.cpp                                       | C++          |         47 |          0 |         11 |         58 |
| d:\OI\Code\Comp\23-05-28 蓝桥杯国赛\F.cpp                                       | C++          |         39 |          0 |         10 |         49 |
| d:\OI\Code\Comp\23-06-11 夏令营\A.cpp                                         | C++          |        126 |          1 |         22 |        149 |
| d:\OI\Code\Comp\23-06-11 夏令营\B.cpp                                         | C++          |         28 |          0 |          8 |         36 |
| d:\OI\Code\Comp\23-07-07 CF883\A.cpp                                       | C++          |         39 |          0 |          8 |         47 |
| d:\OI\Code\Comp\23-07-07 CF883\B.cpp                                       | C++          |         83 |          0 |         14 |         97 |
| d:\OI\Code\Comp\23-07-07 CF883\C.cpp                                       | C++          |         74 |          8 |         22 |        104 |
| d:\OI\Code\Comp\23-07-08 LG\A.cpp                                          | C++          |         39 |          0 |          9 |         48 |
| d:\OI\Code\Comp\23-07-08 LG\B.cpp                                          | C++          |         66 |          0 |         11 |         77 |
| d:\OI\Code\Comp\23-07-09 ARC\A.cpp                                         | C++          |         34 |          0 |         10 |         44 |
| d:\OI\Code\Comp\23-07-14 LG\A.cpp                                          | C++          |         18 |          0 |          7 |         25 |
| d:\OI\Code\Comp\23-07-14 LG\B.cpp                                          | C++          |         37 |          0 |         12 |         49 |
| d:\OI\Code\Comp\23-07-14 LG\C.cpp                                          | C++          |         50 |          0 |         11 |         61 |
| d:\OI\Code\Comp\23-07-14 LG\C_1.cpp                                        | C++          |         14 |          0 |          5 |         19 |
| d:\OI\Code\Comp\23-07-14 LG\D.cpp                                          | C++          |         17 |          0 |          8 |         25 |
| d:\OI\Code\Comp\23-07-14 LG\E.cpp                                          | C++          |         66 |          1 |         14 |         81 |
| d:\OI\Code\Comp\23-07-14 LG\F.cpp                                          | C++          |         66 |          1 |         14 |         81 |
| d:\OI\Code\Comp\23-07-15 ABC\A.cpp                                         | C++          |         28 |          0 |         12 |         40 |
| d:\OI\Code\Comp\23-07-15 ABC\B.cpp                                         | C++          |         56 |          0 |         14 |         70 |
| d:\OI\Code\Comp\23-07-21 CF 886\A.cpp                                      | C++          |         13 |          0 |          8 |         21 |
| d:\OI\Code\Comp\23-07-21 CF 886\B.cpp                                      | C++          |         22 |          0 |          8 |         30 |
| d:\OI\Code\Comp\23-07-21 CF 886\C.cpp                                      | C++          |         25 |          0 |         10 |         35 |
| d:\OI\Code\Comp\23-07-21 CF 886\D.cpp                                      | C++          |         31 |          0 |         14 |         45 |
| d:\OI\Code\Comp\23-07-21 CF 886\E.cpp                                      | C++          |          0 |          0 |          1 |          1 |
| d:\OI\Code\Comp\23-07-21 CF 886\F.cpp                                      | C++          |         29 |          1 |         15 |         45 |
| d:\OI\Code\Comp\23-07-21 CF 886\G.cpp                                      | C++          |          0 |          0 |          1 |          1 |
| d:\OI\Code\Comp\23-07-21 CF 886\H.cpp                                      | C++          |          0 |          0 |          1 |          1 |
| d:\OI\Code\Comp\23-07-21 CF 886\tempCodeRunnerFile.py                      | Python       |          0 |          0 |          1 |          1 |
| d:\OI\Code\Comp\23-07-21 CF 886\test.py                                    | Python       |         59 |          1 |         23 |         83 |
| d:\OI\Code\Comp\23-07-22 ABC311\A_First_ABC.cpp                            | C++          |         29 |          0 |          9 |         38 |
| d:\OI\Code\Comp\23-07-22 ABC311\B_Vacation_Together.cpp                    | C++          |         38 |          0 |         13 |         51 |
| d:\OI\Code\Comp\23-07-22 ABC311\C_Find_it.cpp                              | C++          |         55 |          1 |         15 |         71 |
| d:\OI\Code\Comp\23-07-22 ABC311\D_Grid_Ice_Floor.cpp                       | C++          |         65 |          0 |         23 |         88 |
| d:\OI\Code\Comp\23-07-22 LG\T_309754_yLOI_2022_枕万梦.cpp                     | C++          |         39 |          0 |         13 |         52 |
| d:\OI\Code\Comp\23-07-22 LG\T_348565_yLOI_2022_长安幻世绘.cpp                   | C++          |        120 |          3 |         38 |        161 |
| d:\OI\Code\Comp\23-07-22 LG\T_349349_yLOI_2022_西施江南.cpp                    | C++          |         89 |          4 |         30 |        123 |
| d:\OI\Code\Comp\23-07-22 LG\T_349358_yLOI_2022_签到题.cpp                     | C++          |         28 |          0 |          9 |         37 |
| d:\OI\Code\Comp\23-07-23 ZR\A.cpp                                          | C++          |         96 |         15 |         26 |        137 |
| d:\OI\Code\Comp\23-07-23 ZR\A_2.cpp                                        | C++          |         49 |          0 |         12 |         61 |
| d:\OI\Code\Comp\23-07-23 ZR\B.cpp                                          | C++          |         51 |          0 |         17 |         68 |
| d:\OI\Code\Comp\23-07-23 ZR\C.cpp                                          | C++          |         35 |          0 |         13 |         48 |
| d:\OI\Code\Comp\23-07-23 ZR\Redo\A.cpp                                     | C++          |         55 |          3 |         21 |         79 |
| d:\OI\Code\Comp\23-07-23 ZR\Redo\temp.cpp                                  | C++          |          6 |          0 |          3 |          9 |
| d:\OI\Code\Comp\23-07-25 CF\1851D.cpp                                      | C++          |         47 |          2 |         20 |         69 |
| d:\OI\Code\Comp\23-07-25 CF\Escalator_Conversations.cpp                    | C++          |         32 |          0 |         10 |         42 |
| d:\OI\Code\Comp\23-07-25 CF\Parity_Sort.cpp                                | C++          |         47 |          0 |         15 |         62 |
| d:\OI\Code\Comp\23-07-28 ZR ACM\A.cpp                                      | C++          |         19 |          0 |          6 |         25 |
| d:\OI\Code\Comp\23-07-28 ZR ACM\B.cpp                                      | C++          |         32 |          1 |          4 |         37 |
| d:\OI\Code\Comp\23-07-28 ZR ACM\C.cpp                                      | C++          |         46 |          0 |          4 |         50 |
| d:\OI\Code\Comp\23-07-28 ZR ACM\D.cpp                                      | C++          |         19 |          0 |          6 |         25 |
| d:\OI\Code\Comp\23-07-28 ZR ACM\E.cpp                                      | C++          |         28 |          0 |          5 |         33 |
| d:\OI\Code\Comp\23-07-28 ZR ACM\F.cpp                                      | C++          |         50 |         15 |          8 |         73 |
| d:\OI\Code\Comp\23-07-28 ZR ACM\F2.cpp                                     | C++          |         61 |          0 |         22 |         83 |
| d:\OI\Code\Comp\23-07-28 ZR ACM\G.cpp                                      | C++          |         61 |          1 |          7 |         69 |
| d:\OI\Code\Comp\23-07-28 ZR ACM\H.cpp                                      | C++          |         19 |          0 |          6 |         25 |
| d:\OI\Code\Comp\23-07-28 ZR ACM\I.cpp                                      | C++          |         90 |          4 |         20 |        114 |
| d:\OI\Code\Comp\23-07-28 ZR ACM\J.cpp                                      | C++          |         86 |         13 |          3 |        102 |
| d:\OI\Code\Comp\23-07-28 ZR ACM\K.cpp                                      | C++          |         24 |          0 |          7 |         31 |
| d:\OI\Code\Comp\23-07-28 ZR ACM\L.cpp                                      | C++          |         19 |          0 |          6 |         25 |
| d:\OI\Code\Comp\23-07-28 ZR ACM\M.cpp                                      | C++          |         19 |          0 |          6 |         25 |
| d:\OI\Code\Comp\23-07-28 ZR ACM\model.cpp                                  | C++          |         19 |          0 |          6 |         25 |
| d:\OI\Code\Comp\23-07-28 ZR ACM\qwq.cpp                                    | C++          |         29 |          0 |          5 |         34 |
| d:\OI\Code\Comp\23-07-28 ZR ACM\qwq2.cpp                                   | C++          |         59 |         29 |          7 |         95 |
| d:\OI\Code\Comp\23-07-28 ZR ACM\未命名2.cpp                                   | C++          |         26 |          0 |          4 |         30 |
| d:\OI\Code\Comp\23-07-28 ZR ACM\未命名3.cpp                                   | C++          |         14 |          0 |          5 |         19 |
| d:\OI\Code\Comp\23-07-29 ABC312\A.cpp                                      | C++          |         13 |          0 |          5 |         18 |
| d:\OI\Code\Comp\23-07-29 ABC312\B.cpp                                      | C++          |         46 |          2 |         21 |         69 |
| d:\OI\Code\Comp\23-07-29 ABC312\C.cpp                                      | C++          |         33 |          5 |         16 |         54 |
| d:\OI\Code\Comp\23-08-02 ZR\A.cpp                                          | C++          |         70 |          0 |         23 |         93 |
| d:\OI\Code\Comp\23-08-02 ZR\B.cpp                                          | C++          |         43 |          0 |         13 |         56 |
| d:\OI\Code\Comp\23-08-02 ZR\C.cpp                                          | C++          |         27 |          0 |          9 |         36 |
| d:\OI\Code\Comp\23-08-02 ZR\PaiA\code.cpp                                  | C++          |         65 |          0 |         20 |         85 |
| d:\OI\Code\Comp\23-08-02 ZR\PaiA\pai.cpp                                   | C++          |         25 |          0 |          9 |         34 |
| d:\OI\Code\Comp\23-08-02 ZR\PaiA\scode.cpp                                 | C++          |         73 |          1 |         14 |         88 |
| d:\OI\Code\Comp\23-08-04 ZR\A.cpp                                          | C++          |         25 |          0 |         10 |         35 |
| d:\OI\Code\Comp\23-08-04 ZR\B.cpp                                          | C++          |         50 |          4 |         19 |         73 |
| d:\OI\Code\Comp\23-08-04 ZR\B_1.cpp                                        | C++          |         64 |          1 |         19 |         84 |
| d:\OI\Code\Comp\23-08-04 ZR\C.cpp                                          | C++          |         27 |          0 |          5 |         32 |
| d:\OI\Code\Comp\23-08-04 ZR\cc.cpp                                         | C++          |         52 |          0 |         12 |         64 |
| d:\OI\Code\Comp\23-08-04 ZR\d.cpp                                          | C++          |         17 |          0 |          7 |         24 |
| d:\OI\Code\Comp\23-08-05 ABC313\A.cpp                                      | C++          |         33 |          0 |         13 |         46 |
| d:\OI\Code\Comp\23-08-05 ABC313\B.cpp                                      | C++          |         36 |          0 |         10 |         46 |
| d:\OI\Code\Comp\23-08-05 ABC313\C.cpp                                      | C++          |         36 |          0 |         13 |         49 |
| d:\OI\Code\Comp\23-08-05 ABC313\D.cpp                                      | C++          |         32 |          1 |         12 |         45 |
| d:\OI\Code\Comp\23-08-08 ZR\A.cpp                                          | C++          |         36 |          0 |         14 |         50 |
| d:\OI\Code\Comp\23-08-08 ZR\B.cpp                                          | C++          |          0 |          0 |          1 |          1 |
| d:\OI\Code\Comp\23-08-08 ZR\C.cpp                                          | C++          |         83 |          3 |         28 |        114 |
